name,ncpus,bytes/word,COPY,SCALE,ADD,TRIAD,Clock,FP-OP/clock,shared_memory,distributed_memory,Uniprocessor,Other,result_type,obsolete,type,date,link
DEC_4100_5-300-,4,8,331.8,343.4,377.5,450.0,300.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-300-,2,8,293.2,297.8,328.4,346.1,300.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-300-,1,8,215.8,220.8,241.1,234.2,300.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-300E,4,8,405.2,425.0,426.4,495.1,300.0,2.0,Y,N,N,N,S,N,N,1995.08.28,
DEC_4100_5-300E,2,8,342.5,334.0,381.6,395.3,300.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-300E,1,8,261.3,257.8,282.5,301.7,300.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-400-,4,8,470.2,460.6,491.3,540.7,400.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-400-,2,8,353.4,347.7,371.8,394.1,400.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_4100_5-400-,1,8,247.8,243.9,264.9,268.0,400.0,2.0,Y,N,N,N,S,N,N,1996.05.06,
DEC_433a-(0MB_L3),1,8,292.6,292.6,323.4,341.3,433.0,2.0,N,N,Y,N,S,N,N,1997.02.10,
DEC_500-5-400,1,8,166.4,166.4,177.5,177.5,400.0,2.0,N,N,Y,N,S,N,N,1996.06.13,
DEC_5000-133,1,8,24.0,25.4,20.2,20.9,33.0,0.4,N,N,Y,N,S,N,N,1996.03.16,
DEC_5000-200,1,4,24.4,20.3,21.6,18.3,25.0,0.4,N,N,Y,N,S,N,N,1991.09.30,1991/0047.html
DEC_5000-200,1,8,28.6,24.6,24.3,23.0,25.0,0.4,N,N,Y,N,S,N,N,1991.10.03,1991/0047.html
DEC_5000-240,1,8,50.5,48.0,27.2,27.2,40.0,0.4,N,N,Y,N,S,N,N,1996.03.16,
DEC_5000-25,1,8,18.5,17.1,13.3,13.8,25.0,0.4,N,N,Y,N,S,N,N,1996.03.16,
DEC_600-5-300,1,8,157.6,156.1,169.6,169.0,300.0,2.0,N,N,Y,N,S,N,N,1996.05.06,
DEC_600au_600,1,8,227.7,223.0,243.5,248.2,600.,2.0,N,N,Y,N,S,N,N,1997.12.18,
DEC_7000-610,4,8,261.9,257.4,261.1,265.9,200.0,1.0,Y,N,N,N,S,N,N,1994.09.09,
DEC_7000-610,2,8,163.9,166.0,161.8,157.1,200.0,1.0,Y,N,N,N,S,N,N,1994.09.09,
DEC_7000-610,1,8,91.6,91.6,88.8,86.9,200.0,1.0,Y,N,N,N,S,N,N,1994.09.09,
DEC_8400_5-300,8,8,899.8,834.2,892.8,978.8,300.0,2.0,Y,N,N,N,S,N,N,1995.04.11,
DEC_8400_5-300,6,8,797.6,739.7,791.6,866.2,300.0,2.0,Y,N,N,N,S,N,N,1995.04.11,
DEC_8400_5-300,4,8,611.5,574.0,611.9,656.7,300.0,2.0,Y,N,N,N,S,N,N,1995.04.11,
DEC_8400_5-300,2,8,338.0,319.9,335.7,364.3,300.0,2.0,Y,N,N,N,S,N,N,1995.04.11,
DEC_8400_5-300,1,8,186.3,174.4,198.3,195.2,300.0,2.0,Y,N,N,N,S,N,N,1995.04.11,
DEC_8400_5-350,8,8,1026.7,986.1,1065.0,1132.3,350.0,2.0,Y,N,N,N,S,N,N,1996.04.30,
DEC_8400_5-350,4,8,787.9,751.7,791.7,832.0,350.0,2.0,Y,N,N,N,S,N,N,1996.04.30,
DEC_8400_5-350,2,8,420.3,399.8,424.7,451.2,350.0,2.0,Y,N,N,N,S,N,N,1996.04.30,
DEC_8400_5-350,1,8,215.7,207.5,219.6,234.2,350.0,2.0,Y,N,N,N,S,N,N,1996.04.30,
DEC_8400_5-350_cluster,32,8,4348.8,3914.4,4142.4,4403.7,350.0,2.0,N,Y,N,N,S,N,N,1996.05.24,
DEC_8400_5-350_cluster,24,8,2866.7,2964.7,3279.2,3306.1,350.0,2.0,N,Y,N,N,S,N,N,1996.05.24,
DEC_8400_5-350_cluster,16,8,2114.8,1957.2,1999.0,2141.1,350.0,2.0,N,Y,N,N,S,N,N,1996.05.24,
